camera_id,video_id,timestamp,frame_id,object_type,confidence,x1,y1,x2,y2
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.7886,634.1,3.9,746.5,77.9
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.7398,450.4,3.1,549.1,101.2
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.721,736.7,2.5,872.1,97.3
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.6349,867.0,2.1,1020.5,123.8
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.6138,596.9,5.3,655.3,63.1
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.4471,540.5,3.3,599.0,56.0
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.3963,1.5,3.9,177.5,233.5
CAM_CITY_STREET_01,mixkit_100,0.918,22,car,0.3057,1009.6,3.7,1279.4,223.7
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.837,162.5,4.7,458.3,134.7
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.7881,638.4,3.6,749.1,84.2
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.7468,870.4,1.8,1040.8,133.8
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.7454,739.7,2.6,878.5,102.7
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.7304,445.4,2.8,548.1,108.9
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.7089,1028.0,3.4,1279.4,236.6
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.6279,597.2,4.4,660.7,72.1
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.5882,540.7,1.7,604.8,61.9
CAM_CITY_STREET_01,mixkit_100,1.001,24,car,0.4198,1.9,4.8,176.3,230.9
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.8061,156.9,4.6,459.0,142.3
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.7121,639.1,3.5,752.7,89.6
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.6999,1047.6,3.5,1279.3,248.0
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.6901,443.8,2.5,546.9,115.1
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.6856,741.4,2.9,884.6,111.0
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.6078,597.7,4.7,663.8,77.6
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.5738,876.8,2.0,1063.4,141.8
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.5731,538.9,4.5,604.1,69.9
CAM_CITY_STREET_01,mixkit_100,1.084,26,car,0.5167,1.1,5.7,173.7,240.3
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.7958,877.3,2.3,1078.4,151.0
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.7873,153.0,4.8,459.0,149.0
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.7789,639.2,5.3,753.5,98.3
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.7743,1063.9,4.4,1279.4,263.2
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.7597,742.5,3.7,888.2,118.4
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.7032,438.6,3.1,548.2,122.6
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.6725,599.3,4.5,665.7,85.4
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.5946,539.6,11.7,606.1,77.3
CAM_CITY_STREET_01,mixkit_100,1.168,28,car,0.5278,2.2,6.2,170.9,242.5
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.8128,152.4,4.2,459.1,155.0
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.7252,882.9,2.5,1099.7,155.7
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.7118,440.2,3.9,549.8,126.3
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.6949,1088.4,4.2,1279.0,249.2
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.6729,640.1,3.3,757.1,103.9
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.647,599.5,2.7,668.7,92.7
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.5996,3.8,6.3,169.7,250.4
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.5586,541.2,12.7,608.7,82.8
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.472,746.9,2.9,894.1,125.1
CAM_CITY_STREET_01,mixkit_100,1.251,30,person,0.4606,747.5,3.8,807.5,127.0
CAM_CITY_STREET_01,mixkit_100,1.251,30,car,0.3728,640.4,2.6,892.8,121.6
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.8193,152.5,3.8,460.8,161.8
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.8061,887.7,3.4,1120.3,167.3
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.6966,598.6,2.1,672.5,97.5
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.67,1111.6,4.3,1277.5,262.8
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.6575,439.2,3.8,554.3,134.9
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.6231,541.2,23.7,605.2,90.1
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.6144,640.6,3.3,760.1,110.9
CAM_CITY_STREET_01,mixkit_100,1.335,32,person,0.5602,749.4,1.3,817.9,132.5
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.5588,8.4,8.5,167.1,257.4
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.556,641.7,2.3,899.0,122.1
CAM_CITY_STREET_01,mixkit_100,1.335,32,car,0.4744,749.3,2.3,901.8,127.0
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.8226,147.8,5.2,459.8,167.4
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.8155,641.5,4.0,764.1,118.7
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.7844,751.6,0.5,912.0,140.4
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.743,896.4,2.4,1147.3,172.7
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.6988,433.9,2.3,551.3,141.2
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.6694,1137.8,2.6,1279.1,272.5
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.6119,599.7,2.4,677.1,101.8
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.6033,540.7,29.7,606.7,95.0
CAM_CITY_STREET_01,mixkit_100,1.418,34,car,0.4411,7.2,7.1,165.0,268.2
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.8674,147.6,5.2,460.6,175.4
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.8461,756.9,1.3,921.8,147.2
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.8341,643.0,8.8,765.1,125.9
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.8068,898.9,3.5,1194.7,184.3
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.7104,431.3,2.4,550.3,148.6
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.6505,6.6,5.5,162.6,274.5
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.5422,600.9,3.6,679.9,111.2
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.5258,1171.2,11.9,1279.6,283.9
CAM_CITY_STREET_01,mixkit_100,1.501,36,car,0.5011,541.7,37.5,608.8,102.9
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.8814,907.4,3.4,1223.6,196.4
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.87,641.5,16.3,769.4,128.8
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.8363,760.0,0.5,930.5,155.0
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.8295,144.6,5.1,460.4,182.8
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.7674,435.3,3.1,551.1,154.4
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.7631,5.3,5.2,157.7,284.9
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.6174,540.9,45.5,607.9,109.5
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.5672,599.4,8.2,689.9,120.6
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.4536,1203.1,18.3,1279.3,296.2
CAM_CITY_STREET_01,mixkit_100,1.585,38,car,0.3429,597.5,5.8,727.7,116.6
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.8996,644.0,20.9,771.0,135.0
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.8796,916.3,3.7,1261.2,203.4
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.8128,761.9,0.7,937.5,163.5
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.802,3.2,6.5,156.6,289.5
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.7882,142.2,6.3,460.0,189.8
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.6891,541.7,51.8,606.1,116.2
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.6541,436.3,3.8,549.9,161.8
CAM_CITY_STREET_01,mixkit_100,1.668,40,car,0.5621,600.5,10.9,706.3,123.2
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.8906,920.3,4.1,1279.3,213.3
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.8766,643.2,26.0,774.0,144.4
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.8035,138.0,5.5,460.1,196.8
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.7991,3.1,6.6,156.3,296.6
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.7288,600.8,16.8,689.8,133.3
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.6794,766.4,0.1,947.8,169.1
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.6739,442.1,3.4,553.4,168.6
CAM_CITY_STREET_01,mixkit_100,1.752,42,car,0.67,541.3,58.1,606.0,121.0
CAM_CITY_STREET_01,mixkit_100,1.752,42,person,0.2975,765.2,18.8,816.1,167.4
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.877,928.3,4.0,1279.8,222.1
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.8743,643.5,33.8,775.0,150.0
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.8629,136.5,4.5,461.1,201.6
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.7171,600.1,24.0,689.9,139.0
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.7165,414.0,3.8,550.4,174.2
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.7132,4.3,8.3,154.3,302.0
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.6908,767.4,1.5,959.1,177.9
CAM_CITY_STREET_01,mixkit_100,1.835,44,car,0.5597,540.7,63.2,606.6,128.0
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.8821,939.4,4.3,1279.4,231.3
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.8564,135.6,4.4,460.6,211.5
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.8293,643.4,39.9,780.3,159.6
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.7908,771.9,1.6,970.0,185.0
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.7088,412.8,4.3,549.3,182.8
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.6542,3.5,10.9,152.3,308.7
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.6042,541.3,72.0,605.9,136.7
CAM_CITY_STREET_01,mixkit_100,1.919,46,car,0.6024,600.5,32.8,700.6,145.1
CAM_CITY_STREET_01,mixkit_100,2.002,48,car,0.8918,945.7,4.3,1279.3,241.7
